"num","num2","time","gender2","age2","lhs2","general.trust2","close.trust2","all2","unstable2","unpredictable2","hard2","safe2"
"1.0","1.0","305秒","2.0","21.0","181.0","30.0","96.0","12.0","5.0","5.0","5.0","3.0"
"2.0","2.0","608秒","2.0","22.0","145.0","22.0","83.0","20.0","2.0","4.0","2.0","4.0"
"3.0","3.0","482秒","2.0","20.0","177.0","20.0","70.0","16.0","3.0","5.0","3.0","3.0"
"4.0","4.0","819秒","2.0","21.0","153.0","22.0","90.0","21.0","2.0","4.0","2.0","5.0"
"5.0","5.0","164秒","1.0","24.0","142.0","15.0","80.0","22.0","3.0","2.0","3.0","6.0"
"6.0","6.0","198秒","2.0","25.0","167.0","26.0","97.0","13.0","5.0","6.0","6.0","6.0"
"7.0","7.0","252秒","2.0","19.0","144.0","19.0","68.0","19.0","1.0","7.0","4.0","7.0"
"8.0","8.0","278秒","2.0","21.0","155.0","17.0","74.0","13.0","5.0","5.0","6.0","5.0"
"9.0","9.0","287秒","1.0","22.0","177.0","23.0","68.0","16.0","4.0","4.0","4.0","4.0"
"10.0","10.0","1185秒","2.0","21.0","143.0","18.0","68.0","21.0","2.0","3.0","3.0","5.0"
"11.0","11.0","193秒","2.0","22.0","159.0","28.0","89.0","24.0","1.0","2.0","2.0","5.0"
"13.0","12.0","372秒","2.0","21.0","161.0","24.0","68.0","24.0","4.0","5.0","3.0","5.0"
"14.0","13.0","428秒","2.0","22.0","171.0","20.0","71.0","24.0","2.0","2.0","1.0","5.0"
"15.0","14.0","170秒","1.0","20.0","168.0","19.0","71.0","12.0","2.0","2.0","1.0","5.0"
"16.0","15.0","381秒","2.0","23.0","182.0","16.0","58.0","13.0","2.0","7.0","7.0","4.0"
"17.0","16.0","320秒","2.0","22.0","163.0","23.0","68.0","19.0","4.0","5.0","5.0","3.0"
"18.0","17.0","297秒","2.0","20.0","169.0","26.0","93.0","26.0","2.0","5.0","4.0","6.0"
